50-54,118,Mike,McGurk,R,52,NEM,0236-035JE,3675
65-69,27,John,Graham,M,67,SKY,413A-01W6E,3675
65-69,26,Tom,Fiedler,E,66,NEM,023E-06Y56,3680
35-39,59,Patrick,Hiller,T,35,OREG,373A-07JW5,3695
40-44,92,Emmet,Cullen,F,42,BWAQ,363D-076NK,3700
40-44,92,Stephen,Dragoni,D,42,NEM,023U-01YAK,3700
40-44,92,Joseph,Caruso,A,40,NEM,023M-085HG,3700
45-49,103,Ken,Brisbin,D,47,LBG,3337-03DEA,3700
50-54,115,Timothy,Stephens,G,54,DAMM,2637-077S2,3700
50-54,115,David,Blume,P,53,NEM,023J-035U6,3700
55-59,95,Joerg,Drewitz,F,56,NEM,023M-07G25,3700
60-64,45,Paul,Nichols,W,62,SFTL,503X-02SXR,3700
60-64,45,Roger,Bockrath,A,63,DAM,3835-041SY,3700
25-29,38,Aldo,Jansel,D,26,GOLD,503T-0824Z,3705
45-49,102,David,Hill,M,45,DAM,383C-04BTB,3710
55-59,94,Stuart,Welsh,J,56,TCAM,383K-03FW2,3710
65-69,25,John,Ziegenhagen,T,66,MINN,3039-024D7,3710
50-54,114,Robert,Thomas,C,53,SCA,333J-085D5,3715
50-54,113,Bradford,Johnson,F,53,CRAB,0933-06DS8,3725
55-59,93,Stephan,Jones,S,56,CSI,163X-02AXU,3725
60-64,43,Jerry,Meyer,R,63,CMYM,093J-05RE6,3725
70-74,7,James,Pope,A,70,NEM,023B-01UJZ,3725
55-59,92,Michael,Garr,T,59,NEM,023M-033VR,3735
70-74,6,Henry,Halff,M,70,MOST,4338-02NHB,3735
40-44,90,Benjamin,Kaplan,A,44,NEM,0235-05EDJ,3740
40-44,89,Jonathan,Gladstone,M,44,NEM,023R-072HF,3745
45-49,98,Shawn,Hughes,P,46,MOST,4334-05J4Z,3745
35-39,58,Benjamin,Hammond,W,37,NEM,0233-01P6X,3750
45-49,96,Randall,Turner,B,47,PMST,5438-01HXK,3750
50-54,111,Darin,Salk,N,51,DAM,383Z-03YFW,3750
55-59,90,Paul,McCaffrey,A,58,NEM,0234-03583,3750
55-59,90,Michael,Dilts,T,56,INDY,163D-05GHY,3750
35-39,57,Brian,Stein,W,35,MOST,433M-085RH,3760
40-44,88,Randall,Chamberlain,A,43,TNYA,063P-02ZPS,3760
55-59,89,Bob,Gelb,S,58,SMM,383Y-084R2,3760
65-69,24,James,Stambolis,N,65,TAM,383R-03FUB,3760
35-39,56,Ronnie,Velazquez,I,35,SCSF,1436-081XS,3770
45-49,94,Joshua,Raymond,J,47,BERK,0730-01Y16,3770
65-69,23,Patrick,Feeney,J,65,DAM,3839-03GET,3770
55-59,86,Harvey,Hill,F,58,IMSC,263M-02G8J,3775
55-59,86,James,Lueck,E,55,SCA,333S-07SDB,3775
60-64,41,Emilio,Sovero,A,64,SCA,3336-03B3J,3775
